lon	lat
-96.947467	27.3532
-88.87021667	29.20453333
-85.74845	29.16303333
-84.38	28.35
-84.06	26.59
-84.06	29.09
-84.41	28.59
-85.57	28.49
-83.13	25.42
-84.0049	25.1766
-84.0174	27.2179
-85.0801	28.5497
-84.4868	28.5335
-83.1945	26.5334
-84.383	28.066
-83.388	28.0284
-83.4	25.49
-92.6318	28.42023333
-93.2856	27.89746667
-91.6533	27.98025
-91.65873333	27.9906
-92.66408333	28.44385
-93.28673333	27.89333333
-91.65123333	27.98318333
-91.65911667	27.9879
-91.65301667	29.98511667
-91.65811667	27.99026667
-93.28245	27.89175
-93.28241667	27.8948
-92.63348333	28.41988333
-92.63348333	28.41988333
-91.65385	27.9875
-93.29228333	27.90226667
-91.60416667	28.4125
-93.51	28.33
-93.58	28.09
-93.35	28.06
-93.28673333	27.89333333
-91.57	28.06
-91.11	28.02
-93.3249	28.0271
-89.19	28.49
-89.55	28.85
-90.47	28.31
-93.3208	28.0397
-93.3235	28.2626
-93.5101	28.3263
-92.41933333	28.60716667
-91.5594	28.0356
-90.1612	28.2098
-90.0945	28.2916
-90.0947	28.2757
-91.5659	28.0573
-84.0591	29.0921
-80.5	28.1
-96.633	25.55
-97.301	24.083
-97.4	22.383
-97.45	22.33
-96.45623333	19.89233333
-96.366	20.016
-96.283	19.9
-95.716	19.166
-94.466	18.61
-92.4002	20.83126667
-91.50273333	22.24951667
-90.03481667	22.5801
-90.11301667	22.66201667
-92.33093333	19.38703333
-88.04	29.45
-88.3091	29.2741
-88.076	29.5105
-85.95038333	30.18888333
-88.1898	29.3853
-85.92503333	30.18776667
-85.86331667	30.0405
-85.86706667	30.0542
-88.1684	29.1298
-85.99526667	29.93878333
-85.99521667	29.93878333
-86.00725	29.92638333
-86.00766667	30.04103333
-86.04036667	30.01006667
-85.9	30.1
-88.21	29.23
-85.93605	30.08645
-85.89648333	30.06766667
-88.0383	29.451
-88.867	29.167
-86.31	29.46
-88.2075	29.229
-86.3091	29.4613
-86.0545	29.5412
-87.5634	29.4763
-86.1708	29.4183
-86.21325	29.95316667
-86.23	30.2
-88.14478333	29.81848333
-88.41076667	29.97131667
-88.03278333	29.74013333
-88.10595	29.84183333
-88.48523333	30.11116667
-88.51275	29.7673
-88.4696	30.04696667
-88.13068333	29.50081667
-88.14063333	29.50448333
-88.07263333	29.46565
-88.48358333	29.68348333
-88.07403333	29.42431667
-87.233	29.85
-88.076	29.5105
-87.117	29.5201
-96.25	26.28
-96.23	27.37
-96.36	26.26
-96.12	27.4
-96.47	26.55
-95.45	27.46
-94.53	28.01
-96.4279	27.1506
-95.14	27.55
-96.98	26.3795
-95.145	28.63166667
-97.0765	27.38183333
-95.0885	28.77283333
-95.086	28.8155
-97.027	26.085
-96.86183333	26.057
-97.1	26.32133333
-97.2215	27.27166667
-97.31	27.16816667
-97.06466667	27.26333333
-96.70066667	27.17783333
-96.94333333	27.2385
-94.42	28.32
-94.03	28.09
-96.4689	26.5451
-96.2254	27.3664
-96.1165	27.4016
-95.4538	27.4599
-76.98333333	34.4
-77.53333333	33.61666667
-77.88333333	33.5
-77.88333333	34
-77.88333333	34.4
-77.66666667	33.25
